Blancas;Negras;Resultado Blancas;Resultado Negras;ECO;Apertura;Variaci¢n
Stockfish 16 64-bit 4CPU;rofChade 3.0 64-bit 4CPU;1;0;E54;Defensa Nimzo- India;
rofChade 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Seer 2.6.0 64-bit 4CPU;1;0;E97;Defensa India de Rey;
Seer 2.6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E98;Defensa india de rey - Ortodoxa;
Stockfish 16 64-bit 4CPU;rofChade 3.0 64-bit 4CPU;0,5;0,5;E60;Defensa India de Rey;
rofChade 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E60;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Seer 2.6.0 64-bit 4CPU;0,5;0,5;E12;Defensa India de Dama;
Seer 2.6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E12;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Arasan 23.5 64-bit 4CPU;0,5;0,5;E61;Defensa India de Rey - Smyslov;
Arasan 23.5 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E61;Defensa India de Rey - Smyslov;
Stockfish 16 64-bit 4CPU;Clover 4.1 64-bit 4CPU;1;0;E10;Defensa India de Dama;
Clover 4.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E10;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Koivisto 9.0 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Koivisto 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Rebel 16.2 64-bit 4CPU;0,5;0,5;E13;Defensa India de Dama;
Rebel 16.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E13;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Arasan 23.5 64-bit 4CPU;0,5;0,5;E12;Defensa India de Dama;
Arasan 23.5 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E12;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Wasp 6.50 64-bit 4CPU;1;0;E76;Defensa India de Rey;
Wasp 6.50 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E76;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Koivisto 9.0 64-bit 4CPU;0,5;0,5;E58;Defensa Nimzo- India;
Koivisto 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E58;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Clover 4.1 64-bit 4CPU;1;0;E32;Defensa Nimzo- India;
Clover 4.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Koivisto 9.0 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Koivisto 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E04;Apertura Catalana;
Stockfish 16 64-bit 4CPU;rofChade 3.0 64-bit 4CPU;1;0;E90;Defensa India de Rey;
rofChade 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E90;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;0,5;0,5;E73;Defensa India de Rey;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E73;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Uralochka 3.39d 64-bit 4CPU;1;0;E16;Defensa India de Dama;
Uralochka 3.39d 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E16;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Velvet 5.2.0 64-bit 4CPU;1;0;E11;Defensa Bogo India;
Velvet 5.2.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Igel 3.4.0 64-bit 4CPU;0,5;0,5;E32;Defensa Nimzo- India;
Igel 3.4.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E32;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Koivisto 9.0 64-bit 4CPU;1;0;E97;Defensa India de Rey;
Koivisto 9.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E97;Defensa India de Rey;
Stockfish 16 64-bit 4CPU;Revenge 3.0 64-bit 4CPU;1;0;E42; Nimzo-Indian Defense, Rubinstein System;
Revenge 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E42; Nimzo-Indian Defense, Rubinstein System;
Stockfish 16 64-bit 4CPU;rofChade 3.0 64-bit 4CPU;1;0;E92; King's Indian Defense, Orthodox Variation;
rofChade 3.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E92; King's Indian Defense, Orthodox Variation;
Stockfish 16 64-bit 4CPU;SlowChess Blitz 2.9 64-bit 4CPU;1;0;E12;Defensa India de Dama;
SlowChess Blitz 2.9 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E12;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Clover 4.1 64-bit 4CPU;0,5;0,5;E25; Nimzo-Indian Defense, Saemisch Variation;
Clover 4.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E25; Nimzo-Indian Defense, Saemisch Variation;
Stockfish 16 64-bit 4CPU;Igel 3.4.0 64-bit 4CPU;1;0;E47; Nimzo-Indian Defense, 4.e3;
Igel 3.4.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E47; Nimzo-Indian Defense, 4.e3;
Stockfish 16 64-bit 4CPU;Clover 4.1 64-bit 4CPU;0,5;0,5;E11;Defensa Bogo India;
Clover 4.1 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0;1;E11;Defensa Bogo India;
Stockfish 16 64-bit 4CPU;Seer 2.6.0 64-bit 4CPU;1;0;E54;Defensa Nimzo- India;
Seer 2.6.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E54;Defensa Nimzo- India;
Stockfish 16 64-bit 4CPU;Velvet 5.2.0 64-bit 4CPU;1;0;E15;Defensa India de Dama;
Velvet 5.2.0 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E15;Defensa India de Dama;
Stockfish 16 64-bit 4CPU;Rebel 16.2 64-bit 4CPU;0,5;0,5;E25; Nimzo-Indian Defense, Saemisch Variation;
Rebel 16.2 64-bit 4CPU;Stockfish 16 64-bit 4CPU;0,5;0,5;E25; Nimzo-Indian Defense, Saemisch Variation;
